ID,Sample_Name,Population,Type,VCF_name
1050,1050-F2,1592,F2,1050-F2-Alpha-B7
1051,1051-F2,1592,F2,1051-F2-Alpha-C7
1052,1052-F2,1592,F2,1052-F2-Alpha-D7
1053,1053-F2,1592,F2,1053-F2-Alpha-E7
1054,1054-F2,1592,F2,1054-F2-Alpha-F7
1055,1055-F2,1592,F2,1055-F2-Alpha-G7
1056,1056-F2,1592,F2,1056-F2-Alpha-H7
1057,1057-F2,1592,F2,1057-F2-Alpha-A8
1058,1058-F2,1592,F2,1058-F2-Alpha-B8
1059,1059-F2,1592,F2,1059-F2-Alpha-C8
1060,1060-F2,1592,F2,1060-F2-Alpha-D8
1061,1061-F2,1592,F2,1061-F2-Alpha-E8
1062,1062-F2,1592,F2,1062-F2-Alpha-F8
1063,1063-F2,1592,F2,1063-F2-Alpha-G8
1064,1064-F2,1592,F2,1064-F2-Alpha-H8
1065,1065-F2,1592,F2,1065-F2-Alpha-A9
1066,1066-F2,1592,F2,1066-F2-Alpha-B9
1067,1067-F2,1592,F2,1067-F2-Alpha-C9
1068,1068-F2,1592,F2,1068-F2-Alpha-D9
1069,1069-F2,1592,F2,1069-F2-Alpha-E9
1070,1070-F2,1592,F2,1070-F2-Alpha-F9
1071,1071-F2,1592,F2,1071-F2-Alpha-G9
1072,1072-F2,1592,F2,1072-F2-Alpha-H9
1073,1073-F2,1592,F2,1073-F2-Alpha-A10
1074,1074-F2,1592,F2,1074-F2-Alpha-B10
1075,1075-F2,1592,F2,1075-F2-Alpha-C10
1076,1076-F2,1592,F2,1076-F2-Alpha-D10
1077,1077-F2,1592,F2,1077-F2-Alpha-E10
1078,1078-F2,1592,F2,1078-F2-Alpha-F10
1079,1079-F2,1592,F2,1079-F2-Alpha-G10
1080,1080-F2,1592,F2,1080-F2-Alpha-H10
1081,1081-F2,1592,F2,1081-F2-Alpha-A11
1082,1082-F2,1592,F2,1082-F2-Alpha-B11
1083,1083-F2,1592,F2,1083-F2-Alpha-C11
1084,1084-F2,1592,F2,1084-F2-Alpha-D11
1085,1085-F2,1592,F2,1085-F2-Alpha-E11
1086,1086-F2,1592,F2,1086-F2-Alpha-F11
1087,1087-F2,1592,F2,1087-F2-Alpha-G11
1088,1088-F2,1592,F2,1088-F2-Alpha-H11
1089,1089-F2,1592,F2,1089-F2-Alpha-A12
1090,1090-F2,1592,F2,1090-F2-Alpha-B12
1091,1091-F2,1592,F2,1091-F2-Alpha-C12
1092,1092-F2,1592,F2,1092-F2-Alpha-D12
1093,1093-F2,1592,F2,1093-F2-Alpha-E12
1094,1094-F2,1592,F2,1094-F2-Alpha-F12
1095,1095-F2,1592,F2,1095-F2-Alpha-G12
1096,1096-F2,1592,F2,1096-F2-Alpha-H12
1097,1097-F2,1592,F2,1097-F2-Beta-A1
1098,1098-F2,1592,F2,1098-F2-Beta-B1
1099,1099-F2,1592,F2,1099-F2-Beta-C1
1100,1100-F2,1592,F2,1100-F2-Beta-D1
1101,1101-F2,1592,F2,1101-F2-Beta-E1
1102,1102-F2,1592,F2,1102-F2-Beta-F1
1103,1103-F2,1592,F2,1103-F2-Beta-G1
1104,1104-F2,1592,F2,1104-F2-Beta-H1
1105,1105-F2,1592,F2,1105-F2-Beta-A2
1106,1106-F2,1592,F2,1106-F2-Beta-B2
1107,1107-F2,1592,F2,1107-F2-Beta-C2
1108,1108-F2,1592,F2,1108-F2-Beta-D2
1109,1109-F2,1592,F2,1109-F2-Beta-E2
1110,1110-F2,1592,F2,1110-F2-Beta-F2
1111,1111-F2,1592,F2,1111-F2-Beta-G2
1112,1112-F2,1592,F2,1112-F2-Beta-H2
1113,1113-F2,1592,F2,1113-F2-Beta-A3
1114,1114-F2,1592,F2,1114-F2-Beta-B3
1115,1115-F2,1592,F2,1115-F2-Beta-C3
1116,1116-F2,1592,F2,1116-F2-Beta-D3
1117,1117-F2,1592,F2,1117-F2-Beta-E3
1118,1118-F2,1592,F2,1118-F2-Beta-F3
1119,1119-F2,1592,F2,1119-F2-Beta-G3
1120,1120-F2,1592,F2,1120-F2-Beta-H3
1121,1121-F2,1592,F2,1121-F2-Beta-A4
1122,1122-F2,1592,F2,1122-F2-Beta-B4
1123,1123-F2,1592,F2,1123-F2-Beta-C4
1124,1124-F2,1592,F2,1124-F2-Beta-D4
1125,1125-F2,1592,F2,1125-F2-Beta-E4
1126,1126-F2,1592,F2,1126-F2-Beta-F4
1127,1127-F2,1592,F2,1127-F2-Beta-G4
1128,1128-F2,1592,F2,1128-F2-Beta-H4
1129,1129-F2,1592,F2,1129-F2-Beta-A5
1130,1130-F2,1592,F2,1130-F2-Beta-B5
1131,1131-F2,1592,F2,1131-F2-Beta-C5
1132,1132-F2,1592,F2,1132-F2-Beta-D5
1133,1133-F2,1592,F2,1133-F2-Beta-E5
1134,1134-F2,1592,F2,1134-F2-Beta-F5
1135,1135-F2,1592,F2,1135-F2-Beta-G5
1136,1136-F2,1592,F2,1136-F2-Beta-H5
1137,1137-F2,1592,F2,1137-F2-Beta-A6
1138,1138-F2,1592,F2,1138-F2-Beta-B6
1139,1139-F2,1592,F2,1139-F2-Beta-C6
1140,1140-F2,1592,F2,1140-F2-Beta-D6
1141,1141-F2,1592,F2,1141-F2-Beta-E6
1142,1142-F2,1592,F2,1142-F2-Beta-F6
1143,1143-F2,1592,F2,1143-F2-Beta-G6
1144,1144-F2,1592,F2,1144-F2-Beta-H6
1145,1145-F2,1592,F2,1145-F2-Beta-A7
1146,1146-F2,1592,F2,1146-F2-Beta-B7
1147,1147-F2,1592,F2,1147-F2-Beta-C7
1148,1148-F2,1592,F2,1148-F2-Beta-D7
1149,1149-F2,1592,F2,1149-F2-Beta-E7
1150,1150-F2,1592,F2,1150-F2-Beta-F7
1151,1151-F2,1592,F2,1151-F2-Beta-G7
1152,1152-F2,1592,F2,1152-F2-Beta-H7
1153,1153-F2,1592,F2,1153-F2-Beta-A8
1154,1154-F2,1592,F2,1154-F2-Beta-B8
1155,1155-F2,1592,F2,1155-F2-Beta-C8
1156,1156-F2,1592,F2,1156-F2-Beta-D8
1157,1157-F2,1592,F2,1157-F2-Beta-E8
1158,1158-F2,1592,F2,1158-F2-Beta-F8
1159,1159-F2,1592,F2,1159-F2-Beta-G8
1160,1160-F2,1592,F2,1160-F2-Beta-H8
1161,1161-F2,1592,F2,1161-F2-Beta-A9
1162,1162-F2,1592,F2,1162-F2-Beta-B9
1163,1163-F2,1592,F2,1163-F2-Beta-C9
1164,1164-F2,1592,F2,1164-F2-Beta-D9
1165,1165-F2,1592,F2,1165-F2-Beta-E9
1166,1166-F2,1592,F2,1166-F2-Beta-F9
1167,1167-F2,1592,F2,1167-F2-Beta-G9
7001,7001-F1,1629,F1,7001-F1-Beta-H9
2001,2001-F2,1629,F2,2001-F2-Beta-A10
2002,2002-F2,1629,F2,2002-F2-Beta-B10
2003,2003-F2,1629,F2,2003-F2-Beta-C10
2004,2004-F2,1629,F2,2004-F2-Beta-D10
2005,2005-F2,1629,F2,2005-F2-Beta-E10
2006,2006-F2,1629,F2,2006-F2-Beta-F10
2007,2007-F2,1629,F2,2007-F2-Beta-G10
2008,2008-F2,1629,F2,2008-F2-Beta-H10
2009,2009-F2,1629,F2,2009-F2-Beta-A11
2010,2010-F2,1629,F2,2010-F2-Beta-B11
2011,2011-F2,1629,F2,2011-F2-Beta-C11
2012,2012-F2,1629,F2,2012-F2-Beta-D11
2013,2013-F2,1629,F2,2013-F2-Beta-E11
2014,2014-F2,1629,F2,2014-F2-Beta-F11
2015,2015-F2,1629,F2,2015-F2-Beta-G11
2016,2016-F2,1629,F2,2016-F2-Beta-H11
2017,2017-F2,1629,F2,2017-F2-Beta-A12
2018,2018-F2,1629,F2,2018-F2-Beta-B12
2019,2019-F2,1629,F2,2019-F2-Beta-C12
2020,2020-F2,1629,F2,2020-F2-Beta-D12
2021,2021-F2,1629,F2,2021-F2-Beta-E12
2022,2022-F2,1629,F2,2022-F2-Beta-F12
2023,2023-F2,1629,F2,2023-F2-Beta-G12
2024,2024-F2,1629,F2,2024-F2-Beta-H12
2025,2025-F2,1629,F2,2025-F2-Gamma-A1
2026,2026-F2,1629,F2,2026-F2-Gamma-B1
2027,2027-F2,1629,F2,2027-F2-Gamma-C1
2028,2028-F2,1629,F2,2028-F2-Gamma-D1
2029,2029-F2,1629,F2,2029-F2-Gamma-E1
2030,2030-F2,1629,F2,2030-F2-Gamma-F1
2031,2031-F2,1629,F2,2031-F2-Gamma-G1
2032,2032-F2,1629,F2,2032-F2-Gamma-H1
2033,2033-F2,1629,F2,2033-F2-Gamma-A2
2034,2034-F2,1629,F2,2034-F2-Gamma-B2
2035,2035-F2,1629,F2,2035-F2-Gamma-C2
2036,2036-F2,1629,F2,2036-F2-Gamma-D2
2037,2037-F2,1629,F2,2037-F2-Gamma-E2
2038,2038-F2,1629,F2,2038-F2-Gamma-F2
2039,2039-F2,1629,F2,2039-F2-Gamma-G2
2040,2040-F2,1629,F2,2040-F2-Gamma-H2
2041,2041-F2,1629,F2,2041-F2-Gamma-A3
2042,2042-F2,1629,F2,2042-F2-Gamma-B3
2043,2043-F2,1629,F2,2043-F2-Gamma-C3
2044,2044-F2,1629,F2,2044-F2-Gamma-D3
2045,2045-F2,1629,F2,2045-F2-Gamma-E3
2046,2046-F2,1629,F2,2046-F2-Gamma-F3
2047,2047-F2,1629,F2,2047-F2-Gamma-G3
2048,2048-F2,1629,F2,2048-F2-Gamma-H3
2049,2049-F2,1629,F2,2049-F2-Gamma-A4
2050,2050-F2,1629,F2,2050-F2-Gamma-B4
2051,2051-F2,1629,F2,2051-F2-Gamma-C4
2052,2052-F2,1629,F2,2052-F2-Gamma-D4
2053,2053-F2,1629,F2,2053-F2-Gamma-E4
2054,2054-F2,1629,F2,2054-F2-Gamma-F4
2055,2055-F2,1629,F2,2055-F2-Gamma-G4
2056,2056-F2,1629,F2,2056-F2-Gamma-H4
2057,2057-F2,1629,F2,2057-F2-Gamma-A5
2058,2058-F2,1629,F2,2058-F2-Gamma-B5
2059,2059-F2,1629,F2,2059-F2-Gamma-C5
2060,2060-F2,1629,F2,2060-F2-Gamma-D5
2061,2061-F2,1629,F2,2061-F2-Gamma-E5
2062,2062-F2,1629,F2,2062-F2-Gamma-F5
2063,2063-F2,1629,F2,2063-F2-Gamma-G5
2064,2064-F2,1629,F2,2064-F2-Gamma-H5
2065,2065-F2,1629,F2,2065-F2-Gamma-A6
2066,2066-F2,1629,F2,2066-F2-Gamma-B6
2067,2067-F2,1629,F2,2067-F2-Gamma-C6
2068,2068-F2,1629,F2,2068-F2-Gamma-D6
2069,2069-F2,1629,F2,2069-F2-Gamma-E6
2070,2070-F2,1629,F2,2070-F2-Gamma-F6
2071,2071-F2,1629,F2,2071-F2-Gamma-G6
2072,2072-F2,1629,F2,2072-F2-Gamma-H6
2073,2073-F2,1629,F2,2073-F2-Gamma-A7
2074,2074-F2,1629,F2,2074-F2-Gamma-B7
2075,2075-F2,1629,F2,2075-F2-Gamma-C7
2076,2076-F2,1629,F2,2076-F2-Gamma-D7
2077,2077-F2,1629,F2,2077-F2-Gamma-E7
2078,2078-F2,1629,F2,2078-F2-Gamma-F7
2079,2079-F2,1629,F2,2079-F2-Gamma-G7
2080,2080-F2,1629,F2,2080-F2-Gamma-H7
2081,2081-F2,1629,F2,2081-F2-Gamma-A8
2082,2082-F2,1629,F2,2082-F2-Gamma-B8
2083,2083-F2,1629,F2,2083-F2-Gamma-C8
2084,2084-F2,1629,F2,2084-F2-Gamma-D8
2085,2085-F2,1629,F2,2085-F2-Gamma-E8
2086,2086-F2,1629,F2,2086-F2-Gamma-F8
2087,2087-F2,1629,F2,2087-F2-Gamma-G8
2088,2088-F2,1629,F2,2088-F2-Gamma-H8
2089,2089-F2,1629,F2,2089-F2-Gamma-A9
2090,2090-F2,1629,F2,2090-F2-Gamma-B9
2091,2091-F2,1629,F2,2091-F2-Gamma-C9
2092,2092-F2,1629,F2,2092-F2-Gamma-D9
2093,2093-F2,1629,F2,2093-F2-Gamma-E9
2094,2094-F2,1629,F2,2094-F2-Gamma-F9
2095,2095-F2,1629,F2,2095-F2-Gamma-G9
2096,2096-F2,1629,F2,2096-F2-Gamma-H9
2097,2097-F2,1629,F2,2097-F2-Gamma-A10
2098,2098-F2,1629,F2,2098-F2-Gamma-B10
2099,2099-F2,1629,F2,2099-F2-Gamma-C10
2100,2100-F2,1629,F2,2100-F2-Gamma-D10
2101,2101-F2,1629,F2,2101-F2-Gamma-E10
2102,2102-F2,1629,F2,2102-F2-Gamma-F10
2103,2103-F2,1629,F2,2103-F2-Gamma-G10
2104,2104-F2,1629,F2,2104-F2-Gamma-H10
2105,2105-F2,1629,F2,2105-F2-Gamma-A11
2106,2106-F2,1629,F2,2106-F2-Gamma-B11
2107,2107-F2,1629,F2,2107-F2-Gamma-C11
7003,7003-F1,1633,F1,7003-F1-Gamma-D11
7005,7005-F1,1592,F1,7005-F1-Gamma-E11
7002,7002-F1,1629,F1,7002-F1-Gamma-F11
7006,7006-F1,1592,F1,7006-F1-Gamma-G11
7004,7004-F1,1633,F1,7004-F1-Gamma-H11
3001,3001-F2,1633,F2,3001-F2-Gamma-A12
3002,3002-F2,1633,F2,3002-F2-Gamma-B12
3003,3003-F2,1633,F2,3003-F2-Gamma-C12
3004,3004-F2,1633,F2,3004-F2-Gamma-D12
3005,3005-F2,1633,F2,3005-F2-Gamma-E12
3006,3006-F2,1633,F2,3006-F2-Gamma-F12
3007,3007-F2,1633,F2,3007-F2-Gamma-G12
3008,3008-F2,1633,F2,3008-F2-Gamma-H12
3009,3009-F2,1633,F2,3009-F2-Delta-A1
3010,3010-F2,1633,F2,3010-F2-Delta-B1
3011,3011-F2,1633,F2,3011-F2-Delta-C1
3012,3012-F2,1633,F2,3012-F2-Delta-D1
3013,3013-F2,1633,F2,3013-F2-Delta-E1
3014,3014-F2,1633,F2,3014-F2-Delta-F1
3015,3015-F2,1633,F2,3015-F2-Delta-G1
3016,3016-F2,1633,F2,3016-F2-Delta-H1
3017,3017-F2,1633,F2,3017-F2-Delta-A2
3018,3018-F2,1633,F2,3018-F2-Delta-B2
3019,3019-F2,1633,F2,3019-F2-Delta-C2
3020,3020-F2,1633,F2,3020-F2-Delta-D2
3021,3021-F2,1633,F2,3021-F2-Delta-E2
3022,3022-F2,1633,F2,3022-F2-Delta-F2
3023,3023-F2,1633,F2,3023-F2-Delta-G2
3024,3024-F2,1633,F2,3024-F2-Delta-H2
3025,3025-F2,1633,F2,3025-F2-Delta-A3
3026,3026-F2,1633,F2,3026-F2-Delta-B3
3027,3027-F2,1633,F2,3027-F2-Delta-C3
3028,3028-F2,1633,F2,3028-F2-Delta-D3
3029,3029-F2,1633,F2,3029-F2-Delta-E3
3030,3030-F2,1633,F2,3030-F2-Delta-F3
3031,3031-F2,1633,F2,3031-F2-Delta-G3
3032,3032-F2,1633,F2,3032-F2-Delta-H3
3033,3033-F2,1633,F2,3033-F2-Delta-A4
3034,3034-F2,1633,F2,3034-F2-Delta-B4
3035,3035-F2,1633,F2,3035-F2-Delta-C4
3036,3036-F2,1633,F2,3036-F2-Delta-D4
3037,3037-F2,1633,F2,3037-F2-Delta-E4
3038,3038-F2,1633,F2,3038-F2-Delta-F4
3039,3039-F2,1633,F2,3039-F2-Delta-G4
3040,3040-F2,1633,F2,3040-F2-Delta-H4
3041,3041-F2,1633,F2,3041-F2-Delta-A5
3042,3042-F2,1633,F2,3042-F2-Delta-B5
3043,3043-F2,1633,F2,3043-F2-Delta-C5
3044,3044-F2,1633,F2,3044-F2-Delta-D5
3045,3045-F2,1633,F2,3045-F2-Delta-E5
3046,3046-F2,1633,F2,3046-F2-Delta-F5
3047,3047-F2,1633,F2,3047-F2-Delta-G5
3048,3048-F2,1633,F2,3048-F2-Delta-H5
3049,3049-F2,1633,F2,3049-F2-Delta-A6
3050,3050-F2,1633,F2,3050-F2-Delta-B6
3051,3051-F2,1633,F2,3051-F2-Delta-C6
3052,3052-F2,1633,F2,3052-F2-Delta-D6
3053,3053-F2,1633,F2,3053-F2-Delta-E6
3054,3054-F2,1633,F2,3054-F2-Delta-F6
3055,3055-F2,1633,F2,3055-F2-Delta-G6
3056,3056-F2,1633,F2,3056-F2-Delta-H6
3057,3057-F2,1633,F2,3057-F2-Delta-A7
3058,3058-F2,1633,F2,3058-F2-Delta-B7
3059,3059-F2,1633,F2,3059-F2-Delta-C7
3060,3060-F2,1633,F2,3060-F2-Delta-D7
3061,3061-F2,1633,F2,3061-F2-Delta-E7
3062,3062-F2,1633,F2,3062-F2-Delta-F7
3063,3063-F2,1633,F2,3063-F2-Delta-G7
3064,3064-F2,1633,F2,3064-F2-Delta-H7
3065,3065-F2,1633,F2,3065-F2-Delta-A8
3066,3066-F2,1633,F2,3066-F2-Delta-B8
3067,3067-F2,1633,F2,3067-F2-Delta-C8
3068,3068-F2,1633,F2,3068-F2-Delta-D8
3069,3069-F2,1633,F2,3069-F2-Delta-E8
3070,3070-F2,1633,F2,3070-F2-Delta-F8
3071,3071-F2,1633,F2,3071-F2-Delta-G8
3072,3072-F2,1633,F2,3072-F2-Delta-H8
3073,3073-F2,1633,F2,3073-F2-Delta-A9
3074,3074-F2,1633,F2,3074-F2-Delta-B9
3075,3075-F2,1633,F2,3075-F2-Delta-C9
3076,3076-F2,1633,F2,3076-F2-Delta-D9
3077,3077-F2,1633,F2,3077-F2-Delta-E9
3078,3078-F2,1633,F2,3078-F2-Delta-F9
3079,3079-F2,1633,F2,3079-F2-Delta-G9
3080,3080-F2,1633,F2,3080-F2-Delta-H9
3081,3081-F2,1633,F2,3081-F2-Delta-A10
3082,3082-F2,1633,F2,3082-F2-Delta-B10
3083,3083-F2,1633,F2,3083-F2-Delta-C10
3084,3084-F2,1633,F2,3084-F2-Delta-D10
3085,3085-F2,1633,F2,3085-F2-Delta-E10
3086,3086-F2,1633,F2,3086-F2-Delta-F10
3087,3087-F2,1633,F2,3087-F2-Delta-G10
3088,3088-F2,1633,F2,3088-F2-Delta-H10
3089,3089-F2,1633,F2,3089-F2-Delta-A11
3090,3090-F2,1633,F2,3090-F2-Delta-B11
3091,3091-F2,1633,F2,3091-F2-Delta-C11
3092,3092-F2,1633,F2,3092-F2-Delta-D11
3093,3093-F2,1633,F2,3093-F2-Delta-E11
3094,3094-F2,1633,F2,3094-F2-Delta-F11
3095,3095-F2,1633,F2,3095-F2-Delta-G11
3096,3096-F2,1633,F2,3096-F2-Delta-H11
3097,3097-F2,1633,F2,3097-F2-Delta-A12
3098,3098-F2,1633,F2,3098-F2-Delta-B12
3099,3099-F2,1633,F2,3099-F2-Delta-C12
3100,3100-F2,1633,F2,3100-F2-Delta-D12
3101,3101-F2,1633,F2,3101-F2-Delta-E12
3102,3102-F2,1633,F2,3102-F2-Delta-F12
3103,3103-F2,1633,F2,3103-F2-Delta-G12
3104,3104-F2,1633,F2,3104-F2-Delta-H12
3105,3105-F2,1633,F2,3105-F2-Epsilon-A1
3106,3106-F2,1633,F2,3106-F2-Epsilon-B1
3107,3107-F2,1633,F2,3107-F2-Epsilon-C1
3108,3108-F2,1633,F2,3108-F2-Epsilon-D1
3109,3109-F2,1633,F2,3109-F2-Epsilon-E1
3110,3110-F2,1633,F2,3110-F2-Epsilon-F1
3111,3111-F2,1633,F2,3111-F2-Epsilon-G1
3112,3112-F2,1633,F2,3112-F2-Epsilon-H1
3113,3113-F2,1633,F2,3113-F2-Epsilon-A2
3114,3114-F2,1633,F2,3114-F2-Epsilon-B2
3115,3115-F2,1633,F2,3115-F2-Epsilon-C2
3116,3116-F2,1633,F2,3116-F2-Epsilon-D2
3117,3117-F2,1633,F2,3117-F2-Epsilon-E2
3118,3118-F2,1633,F2,3118-F2-Epsilon-F2
3119,3119-F2,1633,F2,3119-F2-Epsilon-G2
3120,3120-F2,1633,F2,3120-F2-Epsilon-H2
3121,3121-F2,1633,F2,3121-F2-Epsilon-A3
3122,3122-F2,1633,F2,3122-F2-Epsilon-B3
3123,3123-F2,1633,F2,3123-F2-Epsilon-C3
3124,3124-F2,1633,F2,3124-F2-Epsilon-D3
3125,3125-F2,1633,F2,3125-F2-Epsilon-E3
3126,3126-F2,1633,F2,3126-F2-Epsilon-F3
3127,3127-F2,1633,F2,3127-F2-Epsilon-G3
3128,3128-F2,1633,F2,3128-F2-Epsilon-H3
3129,3129-F2,1633,F2,3129-F2-Epsilon-A4
3130,3130-F2,1633,F2,3130-F2-Epsilon-B4
3131,3131-F2,1633,F2,3131-F2-Epsilon-C4
3132,3132-F2,1633,F2,3132-F2-Epsilon-D4
3133,3133-F2,1633,F2,3133-F2-Epsilon-E4
3134,3134-F2,1633,F2,3134-F2-Epsilon-F4
3135,3135-F2,1633,F2,3135-F2-Epsilon-G4
3136,3136-F2,1633,F2,3136-F2-Epsilon-H4
3137,3137-F2,1633,F2,3137-F2-Epsilon-A5
3138,3138-F2,1633,F2,3138-F2-Epsilon-B5
3139,3139-F2,1633,F2,3139-F2-Epsilon-C5
3140,3140-F2,1633,F2,3140-F2-Epsilon-D5
3141,3141-F2,1633,F2,3141-F2-Epsilon-E5
3142,3142-F2,1633,F2,3142-F2-Epsilon-F5
3143,3143-F2,1633,F2,3143-F2-Epsilon-G5
3144,3144-F2,1633,F2,3144-F2-Epsilon-H5
3145,3145-F2,1633,F2,3145-F2-Epsilon-A6
3146,3146-F2,1633,F2,3146-F2-Epsilon-B6
3147,3147-F2,1633,F2,3147-F2-Epsilon-C6
3148,3148-F2,1633,F2,3148-F2-Epsilon-D6
3149,3149-F2,1633,F2,3149-F2-Epsilon-E6
3150,3150-F2,1633,F2,3150-F2-Epsilon-F6
3151,3151-F2,1633,F2,3151-F2-Epsilon-G6
3152,3152-F2,1633,F2,3152-F2-Epsilon-H6
3153,3153-F2,1633,F2,3153-F2-Epsilon-A7
3154,3154-F2,1633,F2,3154-F2-Epsilon-B7
3155,3155-F2,1633,F2,3155-F2-Epsilon-C7
3156,3156-F2,1633,F2,3156-F2-Epsilon-D7
3157,3157-F2,1633,F2,3157-F2-Epsilon-E7
3158,3158-F2,1633,F2,3158-F2-Epsilon-F7
3159,3159-F2,1633,F2,3159-F2-Epsilon-G7
3160,3160-F2,1633,F2,3160-F2-Epsilon-H7
3161,3161-F2,1633,F2,3161-F2-Epsilon-A8
3162,3162-F2,1633,F2,3162-F2-Epsilon-B8
3163,3163-F2,1633,F2,3163-F2-Epsilon-C8
3164,3164-F2,1633,F2,3164-F2-Epsilon-D8
3165,3165-F2,1633,F2,3165-F2-Epsilon-E8
3166,3166-F2,1633,F2,3166-F2-Epsilon-F8
3167,3167-F2,1633,F2,3167-F2-Epsilon-G8
3168,3168-F2,1633,F2,3168-F2-Epsilon-H8
3169,3169-F2,1633,F2,3169-F2-Epsilon-A9
3170,3170-F2,1633,F2,3170-F2-Epsilon-B9
3171,3171-F2,1633,F2,3171-F2-Epsilon-C9
3172,3172-F2,1633,F2,3172-F2-Epsilon-D9
3173,3173-F2,1633,F2,3173-F2-Epsilon-E9
3174,3174-F2,1633,F2,3174-F2-Epsilon-F9
3175,3175-F2,1633,F2,3175-F2-Epsilon-G9
3176,3176-F2,1633,F2,3176-F2-Epsilon-H9
3177,3177-F2,1633,F2,3177-F2-Epsilon-A10
3178,3178-F2,1633,F2,3178-F2-Epsilon-B10
3179,3179-F2,1633,F2,3179-F2-Epsilon-C10
3180,3180-F2,1633,F2,3180-F2-Epsilon-D10
3181,3181-F2,1633,F2,3181-F2-Epsilon-E10
3182,3182-F2,1633,F2,3182-F2-Epsilon-F10
3183,3183-F2,1633,F2,3183-F2-Epsilon-G10
3184,3184-F2,1633,F2,3184-F2-Epsilon-H10
3185,3185-F2,1633,F2,3185-F2-Epsilon-A11
3186,3186-F2,1633,F2,3186-F2-Epsilon-B11
3187,3187-F2,1633,F2,3187-F2-Epsilon-C11
3188,3188-F2,1633,F2,3188-F2-Epsilon-D11
3189,3189-F2,1633,F2,3189-F2-Epsilon-E11
3190,3190-F2,1633,F2,3190-F2-Epsilon-F11
3191,3191-F2,1633,F2,3191-F2-Epsilon-G11
3192,3192-F2,1633,F2,3192-F2-Epsilon-H11
3193,3193-F2,1633,F2,3193-F2-Epsilon-A12
3194,3194-F2,1633,F2,3194-F2-Epsilon-B12
3195,3195-F2,1633,F2,3195-F2-Epsilon-C12
3196,3196-F2,1633,F2,3196-F2-Epsilon-D12
3197,3197-F2,1633,F2,3197-F2-Epsilon-E12
3198,3198-F2,1633,F2,3198-F2-Epsilon-F12
3199,3199-F2,1633,F2,3199-F2-Epsilon-G12
3200,3200-F2,1633,F2,3200-F2-Epsilon-H12
3201,3201-F2,1633,F2,3201-F2-Zeta-A1
3202,3202-F2,1633,F2,3202-F2-Zeta-B1
3203,3203-F2,1633,F2,3203-F2-Zeta-C1
3204,3204-F2,1633,F2,3204-F2-Zeta-D1
